"X","fov","volume","center_x","center_y"
2713,1867,449.865518953702,10700.8480799639,9103.13549598084
2714,1867,311.075352780148,10716.0899270795,9106.12582192125
2716,1867,1193.38727748933,10654.968268498,9105.8960262203
2717,1867,586.297958536565,10709.7208571265,9106.48410012426
2720,1867,445.036959401308,10728.7865374143,9107.90595272826
2723,1867,814.475126700701,10620.1679148598,9105.95662428973
2724,1867,731.291514757247,10739.3435268589,9108.36333978051
2725,1867,794.06856671712,10638.3272357416,9105.70145945228
2728,1867,212.35641906579,10681.092919157,9105.80590886258
2729,1867,604.749845553624,10731.2631076689,9110.64578858385
2730,1867,463.422685630464,10666.8152808183,9107.86177690703
2733,1867,466.160255376911,10692.6825469554,9110.59898630234
2735,1867,345.97755202553,10701.5059356936,9109.60406166266
2736,1867,1887.78221542854,10640.6405916904,9112.72753961987
2737,1867,795.355291885277,10687.5501831609,9111.98899301454
2739,1867,617.743560453128,10604.9559730313,9113.5573427471
2740,1867,494.858234198629,10788.5522606162,9115.60972504421
2741,1867,464.058528045251,10749.8451603539,9114.47116873611
2742,1867,431.561444291241,10781.2443410199,9115.04630473522
2743,1867,493.950482745848,10761.2146743246,9115.47831941102
2748,1867,253.584875554352,10773.6872568489,9115.6274529897
2751,1867,1242.22110464519,10745.5628376389,9119.73054615101
2753,1867,817.207722795924,10716.622318928,9119.86429739538
2754,1867,1111.90885135583,10604.1585384152,9120.6498202672
2756,1867,575.896384797687,10636.6571179451,9122.61948534581
2759,1867,897.160792876532,10778.7729226838,9127.58851980345
2761,1867,259.121530403572,10715.3076770882,9123.30479886754
2764,1867,958.034796155067,10662.7776805812,9130.62833674658
2765,1867,862.208696945359,10610.1776436419,9131.44053348021
2766,1867,1566.0514379499,10688.0065352464,9130.75047371108
2768,1867,343.026258141205,10628.0739972222,9128.76085149777
2769,1867,387.706312221198,10762.9482656351,9129.88888403702
2770,1867,235.810724407554,10703.1755853155,9129.25594566183
2774,1867,484.374666692632,10736.4527090753,9132.41982771389
2776,1867,1832.37229631147,10625.2661459719,9138.95414032955
2779,1867,785.348485744026,10769.2905684747,9135.83051743886
2780,1867,532.71630344538,10743.4701613773,9135.96462448304
2783,1867,587.447067276163,10732.2818325972,9138.41314361632
2784,1867,529.869992212117,10705.7709499342,9139.03276296131
2787,1867,905.793783522147,10603.0009411284,9142.51479851266
2789,1867,2146.93085547939,10645.2706962068,9147.3609150174
2790,1867,902.268698654379,10700.6036483266,9147.51588243856
2792,1867,1103.38651935601,10740.1773600793,9150.52191999954
2794,1867,944.461739153007,10668.6619843544,9149.46411863808
2795,1867,1563.97727500214,10682.3613586436,9152.35963157049
2796,1867,653.345127839267,10715.1238750878,9150.63901744773
2799,1867,113.29900583876,10658.1207416143,9149.85823461342
2801,1867,782.013299309436,10705.6517613746,9154.8929176186
2802,1867,339.720110328826,10599.3882437934,9152.72887811662
2804,1867,161.194428667851,10657.2619779614,9153.32864476109
2805,1867,1028.93789360527,10613.6154421238,9158.44754680664
2807,1867,1095.17544154462,10602.041547314,9161.2829275195
2808,1867,378.962394318724,10763.0032211253,9159.57830165451
2810,1867,628.41615664872,10624.5647896398,9163.3793673799
2814,1867,1225.40446003999,10625.3657567872,9170.50347447156
2815,1867,1710.69821280065,10605.0833712242,9173.96263456301
2817,1867,668.210569411662,10776.9010119144,9175.92213847645
2818,1867,672.857156127163,10712.9442297511,9178.87129169938
2820,1867,631.548340469792,10704.2941365165,9179.81738439486
2821,1867,550.315678931259,10664.0196108555,9178.69544559556
2823,1867,644.271399614127,10644.9440260559,9182.760491289
2824,1867,617.836879667744,10716.840935299,9184.44214066185
2825,1867,322.08059810613,10767.2675160942,9181.00958212746
2826,1867,711.413156513784,10738.5561773825,9184.42128509079
2827,1867,298.565557046208,10671.6453136552,9182.12690908301
2828,1867,1273.56866990525,10688.5385099497,9187.49734431321
